Bowler_Name,Team,No. Of Innings,Overs,Maidens,Runs_Conceded,Wickets,Economy,Dots
Aayan Afzal Khan,United Arab Emirates,3,8.0,0,38,2,4.75,20
Adam Zampa,Australia,3,12.0,0,80,5,6.67,24
Adil Rashid,England,6,24.0,1,147,4,6.12,45
Afif Hossain,Bangladesh,1,1.0,0,11,1,11.0,1
Ahmed Raza,United Arab Emirates,1,1.0,0,9,0,9.0,1
Aiden Markram,South Africa,2,3.0,0,21,1,7.0,4
Akeal Hosein,West Indies,3,12.0,0,94,2,7.83,25
Alzarri Joseph,West Indies,3,12.0,0,83,6,6.92,34
Anrich Nortje,South Africa,5,17.3,0,94,11,5.43,58
Arshdeep Singh,India,6,20.0,0,156,10,7.8,55
Aryan Lakra,United Arab Emirates,1,3.0,0,24,1,8.0,5
Ashton Agar,Australia,1,4.0,0,25,1,6.25,8
Axar Patel,India,5,13.2,0,115,3,8.71,29
Azmatullah Omarzai,Afghanistan,2,3.1,0,28,0,9.03,4
Barry McCarthy,Ireland,7,25.0,0,227,5,9.08,46
Bas de Leede,Netherlands,7,22.0,0,169,13,7.68,50
Basil Hameed,United Arab Emirates,3,5.0,0,37,3,7.4,15
Ben Shikongo,Namibia,3,5.0,1,48,3,9.6,8
Ben Stokes,England,6,16.2,0,111,6,6.85,42
Bernard Scholtz,Namibia,3,12.0,0,61,4,5.08,31
Bhuvneshwar Kumar,India,6,18.4,3,115,4,6.25,69
Binura Fernando,Sri Lanka,3,8.5,0,65,2,7.65,23
Blessing Muzarabani,Zimbabwe,7,26.0,0,199,12,7.65,71
Brad Evans,Zimbabwe,2,7.0,0,57,2,8.14,14
Brad Wheal,Scotland,3,12.0,0,83,4,6.92,33
Brandon Glover,Netherlands,3,8.5,1,60,7,7.06,29
Calum MacLeod,Scotland,1,1.0,0,11,0,11.0,0
Cameron Green,Australia,1,2.0,0,13,0,6.5,7
Chamika Karunaratne,Sri Lanka,6,18.0,0,144,3,8.0,36
Charith Asalanka,Sri Lanka,1,1.0,0,8,0,8.0,1
Chris Greaves,Scotland,1,2.0,0,18,0,9.0,1
Chris Jordan,England,2,8.0,0,70,5,8.75,17
Chris Woakes,England,6,20.0,0,172,5,8.6,45
Colin Ackermann,Netherlands,3,7.0,0,37,1,5.29,16
Curtis Campher,Ireland,4,8.0,0,74,2,9.25,17
Dasun Shanaka,Sri Lanka,3,3.1,0,24,1,7.74,8
David Wiese,Namibia,3,10.3,0,65,3,6.31,29
Dhananjaya de Silva,Sri Lanka,6,12.1,0,83,6,6.86,20
Dushmantha Chameera,Sri Lanka,2,7.5,0,54,4,7.2,22
Ebadot Hossain,Bangladesh,1,3.1,0,25,1,8.06,7
Fareed Ahmad,Afghanistan,2,4.0,0,48,1,12.0,5
Fazalhaq Farooqi,Afghanistan,3,11.3,1,75,3,6.64,39
Fionn Hand,Ireland,3,5.0,0,54,1,10.8,10
Fred Klaassen,Netherlands,8,30.0,0,191,8,6.37,93
Gareth Delany,Ireland,7,23.3,0,185,6,7.94,53
George Dockrell,Ireland,4,8.0,0,56,1,7.0,15
Gerhard Erasmus,Namibia,2,4.0,0,21,0,5.25,9
Glenn Maxwell,Australia,2,3.1,0,19,3,6.13,8
Gulbadin Naib,Afghanistan,2,4.0,0,43,0,10.75,7
Hardik Pandya,India,6,18.0,0,146,8,8.11,42
Haris Rauf,Pakistan,7,26.0,1,178,8,6.85,69
Hasan Mahmud,Bangladesh,4,16.0,1,134,6,8.38,42
Iftikhar Ahmed,Pakistan,2,3.5,0,28,1,8.0,9
Ish Sodhi,New Zealand,5,19.2,0,130,6,6.77,43
JJ Smit,Namibia,3,11.0,0,79,3,7.18,27
Jan Frylinck,Namibia,3,11.0,1,72,3,6.55,24
Jan Nicol Loftie-Eaton,Namibia,1,1.0,0,8,0,8.0,2
Jason Holder,West Indies,3,10.2,0,49,5,4.8,27
Josh Davey,Scotland,3,10.0,0,96,3,9.6,21
Josh Hazlewood,Australia,4,15.0,0,124,5,8.27,42
Josh Little,Ireland,7,27.0,0,189,11,7.0,68
Junaid Siddique,United Arab Emirates,3,12.0,0,95,4,7.92,26
Kagiso Rabada,South Africa,5,16.0,0,151,2,9.44,38
Kane Richardson,Australia,1,4.0,0,48,1,12.0,4
Karthik Meiyappan,United Arab Emirates,3,12.0,0,75,5,6.25,31
Kashif Daud,United Arab Emirates,2,2.0,0,19,0,9.5,1
Kasun Rajitha,Sri Lanka,3,11.0,0,94,3,8.55,31
Keshav Maharaj,South Africa,4,12.0,0,89,3,7.42,24
Kyle Mayers,West Indies,2,3.0,0,41,0,13.67,8
Lahiru Kumara,Sri Lanka,6,19.7,0,153,7,7.77,60
Liam Livingstone,England,5,12.0,0,96,3,8.0,19
Lockie Ferguson,New Zealand,5,19.0,0,159,7,8.37,43
Logan van Beek,Netherlands,6,16.2,0,125,3,7.72,32
Luke Jongwe,Zimbabwe,3,5.0,0,59,2,11.8,6
Lungi Ngidi,South Africa,4,13.0,0,116,7,8.92,30
Maheesh Theekshana,Sri Lanka,8,30.1,0,202,9,6.71,71
Marcus Stoinis,Australia,4,9.0,0,87,1,9.67,8
Mark Adair,Ireland,7,24.0,0,212,4,8.83,52
Mark Watt,Scotland,3,12.0,0,70,5,5.83,35
Mark Wood,England,4,14.0,0,108,9,7.71,43
Mehidy Hasan Miraz,Bangladesh,1,3.0,0,32,0,10.67,4
Michael Leask,Scotland,3,10.0,0,67,4,6.7,17
Mitchell Marsh,Australia,1,1.0,0,14,0,14.0,1
Mitchell Santner,New Zealand,5,20.0,0,129,9,6.45,49
Mitchell Starc,Australia,3,12.0,1,102,3,8.5,29
Moeen Ali,England,2,2.0,0,9,0,4.5,4
Mohammad Nabi,Afghanistan,3,6.0,0,46,1,7.67,9
Mohammad Nawaz,Pakistan,4,9.0,0,67,3,7.44,17
Mohammad Wasim,Pakistan,6,17.0,0,124,8,7.29,42
Mohammed Shami,India,6,20.0,0,143,6,7.15,60
Mosaddek Hossain,Bangladesh,3,7.0,0,64,2,9.14,16
Muhammad Waseem,United Arab Emirates,1,2.0,0,16,1,8.0,3
Mujeeb Ur Rahman,Afghanistan,3,12.0,0,88,4,7.33,27
Mustafizur Rahman,Bangladesh,5,20.0,0,112,3,5.6,49
Naseem Shah,Pakistan,7,26.0,0,162,3,6.23,74
Nasum Ahmed,Bangladesh,1,4.0,0,14,1,3.5,13
Naveen-ul-Haq,Afghanistan,1,4.0,0,21,3,5.25,11
Obed McCoy,West Indies,3,9.3,0,71,1,7.63,26
Odean Smith,West Indies,3,9.0,0,85,2,9.44,18
Pat Cummins,Australia,4,16.0,0,132,3,8.25,46
Paul van Meekeren,Netherlands,8,31.0,0,198,11,6.39,85
Pramod Madushan,Sri Lanka,3,10.0,0,75,3,7.5,25
Rashid Khan,Afghanistan,3,12.0,0,77,4,6.42,29
Ravichandran Ashwin,India,6,19.0,0,155,6,8.16,41
Richard Ngarava,Zimbabwe,8,28.0,1,197,9,7.04,89
Roelof van der Merwe,Netherlands,6,11.0,0,75,2,6.82,23
Ruben Trumpelmann,Namibia,1,4.0,0,22,0,5.5,10
Ryan Burl,Zimbabwe,3,5.0,0,48,0,9.6,6
Safyaan Sharif,Scotland,3,8.6,0,78,2,9.07,14
Sam Curran,England,6,22.4,0,148,13,6.61,66
Sean Williams,Zimbabwe,7,18.0,0,111,5,6.17,33
Shadab Khan,Pakistan,7,26.0,0,165,11,6.35,59
Shaheen Shah Afridi,Pakistan,7,25.1,0,155,11,6.18,70
Shakib Al Hasan,Bangladesh,5,19.0,0,167,6,8.79,27
Shariz Ahmad,Netherlands,2,4.0,0,32,1,8.0,7
Shoriful Islam,Bangladesh,1,4.0,0,57,0,14.25,7
Sikandar Raza,Zimbabwe,8,24.0,0,156,10,6.5,46
Simi Singh,Ireland,4,9.0,0,78,3,8.67,14
Soumya Sarkar,Bangladesh,1,3.0,0,29,1,9.67,5
Tabraiz Shamsi,South Africa,2,8.0,0,56,4,7.0,20
Taskin Ahmed,Bangladesh,5,18.0,1,131,8,7.28,64
Tendai Chatara,Zimbabwe,7,23.0,1,155,4,6.74,58
Tim Pringle,Netherlands,6,17.0,0,102,3,6.0,38
Tim Southee,New Zealand,5,17.2,1,114,7,6.63,52
Timm van der Gugten,Netherlands,2,6.0,0,60,1,10.0,7
Trent Boult,New Zealand,5,20.0,0,148,8,7.4,56
Wanindu Hasaranga,Sri Lanka,8,31.0,1,199,15,6.42,74
Wayne Parnell,South Africa,5,16.0,1,102,5,6.38,48
Wellington Masakadza,Zimbabwe,1,2.0,0,12,0,6.0,5
Wessly Madhevere,Zimbabwe,2,3.0,0,25,0,8.33,1
Zahoor Khan,United Arab Emirates,3,12.0,0,57,5,4.75,39
Zawar Farid,United Arab Emirates,1,2.5,0,24,0,9.6,2
